FNR,STATUS,NAME,SITZ,RECHTSFORM_CODE,RECHTSFORM_TEXT,GERICHT_CODE,GERICHT_TEXT
119392b,gelöscht,A.A.C. Autovertriebs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
037678i,gelöscht,A.A.C. Handelsgesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
043481v,,AAC Wirtschaftsprüfungs- u. Steuerberatungsgesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
332169i,,AACC Wirtschaftsservices GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
295004f,gelöscht,AACU Beratungsges.m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
590970z,,AAD Architekt Alexander Diem ZT GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
621472f,,AAD Facility Service GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
384676a,,AAD Materialverwertungs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
287895a,,AADD GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
599426i,,AAF Buchhaltung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
462312x,gelöscht,AAF Projekt GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
172842f,gelöscht,AAG Baugesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
079663b,gelöscht,AAG Bauträger Gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
049621y,gelöscht,A.A.G.A. Handelsges.m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
523190y,,AAHN Projektentwicklung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
536418a,,AAISB Holding GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
172397a,gelöscht,AAKI GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
148842k,gelöscht,Aalborg-Pharma GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
548694d,gelöscht,AALM Gastronomie GmbH in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
122658f,gelöscht,AAM Beteiligungsverwaltungs- Gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
546299g,,A.A.M. Heaven Consulting GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
505023g,gelöscht,AAM Immo Entwicklungs GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
419280p,,A.A.M. Pro-jects Liegenschaftsentwicklungs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
074123f,gelöscht,AAM Vermögenstreuhand- gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
395458g,,aamana Holzhandel GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
498488x,,AANDRS GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
302454k,gelöscht,Aang Beteiligungs GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
216397g,,aanu gmbh,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
185928z,,"""AAP"" Angewandte Psychologie und Forschung GmbH",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
638158v,,AAP Aviation GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
310705w,gelöscht,AAP Liegenschaftsvermietung GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
297407p,,aap.architekten ZT GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
460623m,,AA&Partner Immobilien GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
428767s,,AAPF Holding GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
371822y,gelöscht,AAPO-SPA ALPHA natürliche Heilmittel GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
417229y,gelöscht,AAPO-SPA Handels GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
531411m,,Aapospa natürliche Heilmittel GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
348105w,gelöscht,AAQ2 GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
585054z,,Aar Film & Verlags GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
506837z,,Aardworx GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
376520g,,Aareon Österreich GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
265430p,,Aaron Consulting GesmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
271637t,gelöscht,Aaron Development GesmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
271062x,gelöscht,Aaron Development Holding GesmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
